Employee_ID,Employee_Code,First_Name,Last_Name,Email,Phone,Department,Designation,Warehouse_ID,Hire_Date,Is_Active,Created_Date
50,EMP0050,Aarini,Atwal,iryasuresh@example.org,0634934147,Operations,Sales Manager,5,2022-05-21,1,2026-07-13
51,EMP0051,Oviya,Suri,nadignachiket@example.org,6185795028,Operations,Inventory Executive,2,2023-05-30,1,2026-07-13
52,EMP0052,Zilmil,Karpe,kkunda@example.com,2022084348,Operations,Sales Manager,4,2022-05-23,1,2026-07-13
53,EMP0053,Nimrat,Rajagopalan,hamsinivarghese@example.com,4465800243,Warehouse,Sales Manager,1,2026-02-05,1,2026-07-13
54,EMP0054,Pranav,Thaman,gagan11@example.com,3708627390,Warehouse,Inventory Executive,5,2026-03-28,1,2026-07-13
55,EMP0055,Urishilla,Vig,krisha60@example.com,0741545882,Operations,Inventory Executive,5,2023-12-27,1,2026-07-13
56,EMP0056,Ucchal,Shetty,karan03@example.net,4383296511,Operations,Inventory Executive,5,2023-12-27,1,2026-07-13
57,EMP0057,Vasudha,Jhaveri,schoudhry@example.org,0952366221,Operations,Warehouse Manager,1,2026-01-09,1,2026-07-13
58,EMP0058,Vaishnavi,Wable,ekansh34@example.net,3055696484,Inventory,Warehouse Manager,2,2023-04-30,1,2026-07-13
59,EMP0059,Odika,Bhat,tarak72@example.net,6296864224,Sales,Sales Executive,3,2023-04-03,1,2026-07-13
60,EMP0060,Qushi,Bal,sanyabhatnagar@example.com,2478276999,Inventory,Warehouse Manager,5,2024-09-17,1,2026-07-13
61,EMP0061,Wridesh,Chatterjee,girindradutta@example.net,5060779269,Operations,Sales Executive,4,2021-11-24,1,2026-07-13
62,EMP0062,Qarin,Varma,vasudhatiwari@example.com,7164153617,Operations,Sales Executive,2,2023-09-17,1,2026-07-13
63,EMP0063,Nirja,Bhalla,prashadbalhaar@example.org,7630147634,Sales,Warehouse Manager,3,2023-08-16,1,2026-07-13
64,EMP0064,Pallavi,Behl,ybhatti@example.com,7680672964,Warehouse,Warehouse Manager,3,2026-07-12,1,2026-07-13
65,EMP0065,Finn,Rege,oscarchoudhry@example.com,4328061568,Operations,Sales Manager,5,2026-05-26,1,2026-07-13
66,EMP0066,Madhavi,Deo,pradhanyauvani@example.net,3665890846,Sales,Warehouse Manager,4,2026-06-21,1,2026-07-13
67,EMP0067,Shaurya,Seth,shivansh65@example.org,0308505656,Warehouse,Warehouse Manager,2,2024-06-18,1,2026-07-13
68,EMP0068,Onkar,Mannan,palanmahika@example.com,6777841262,Operations,Sales Manager,5,2021-12-26,1,2026-07-13
69,EMP0069,Jhalak,Sarna,jeetchopra@example.net,9957618226,Operations,Sales Executive,1,2024-08-01,1,2026-07-13
70,EMP0070,Fitan,Desai,timothyravi@example.org,9985060218,Inventory,Warehouse Manager,5,2024-07-31,1,2026-07-13
71,EMP0071,Lakshmi,Choudhary,qabil29@example.org,9726041493,Inventory,Inventory Executive,4,2023-07-16,1,2026-07-13
72,EMP0072,Ronith,Dash,watika12@example.net,1927983503,Operations,Warehouse Manager,2,2022-02-05,1,2026-07-13
73,EMP0073,Krish,Chadha,manbirmadan@example.org,4111557382,Sales,Sales Manager,5,2024-08-29,1,2026-07-13
74,EMP0074,Bimala,Barad,dsathe@example.org,6242895286,Inventory,Warehouse Manager,1,2022-04-27,1,2026-07-13
75,EMP0075,Zilmil,Nadig,amolramaswamy@example.net,2052379615,Inventory,Sales Executive,5,2025-12-25,1,2026-07-13
76,EMP0076,Aahana,Pillay,kashish64@example.com,1718883876,Sales,Sales Manager,3,2024-06-15,1,2026-07-13
77,EMP0077,Anirudh,Saha,oranganathan@example.com,0536335129,Operations,Warehouse Manager,1,2024-05-08,1,2026-07-13
78,EMP0078,Abhiram,Misra,sandhukaran@example.org,1500598147,Warehouse,Inventory Executive,1,2025-12-08,1,2026-07-13
79,EMP0079,Saumya,Ratti,narulacharita@example.net,5065451835,Warehouse,Warehouse Manager,3,2023-02-16,1,2026-07-13
80,EMP0080,Frado,Wadhwa,girish92@example.net,9464558508,Operations,Warehouse Manager,3,2023-03-11,1,2026-07-13
81,EMP0081,Mugdha,Grewal,lipika39@example.com,4033531140,Warehouse,Warehouse Manager,4,2023-10-24,1,2026-07-13
82,EMP0082,Chaman,Puri,bhavnabanerjee@example.org,3446371136,Operations,Inventory Executive,3,2022-07-24,1,2026-07-13
83,EMP0083,Anita,Kale,qkala@example.org,8978226920,Inventory,Sales Executive,4,2026-01-03,1,2026-07-13
84,EMP0084,Anirudh,Ghose,gandhitheodore@example.net,3067622337,Warehouse,Sales Manager,3,2025-10-14,1,2026-07-13
85,EMP0085,Hamsini,Dar,fsama@example.org,1340970498,Sales,Sales Executive,1,2021-10-03,1,2026-07-13
86,EMP0086,Jonathan,Saraf,yauvani58@example.org,0984881401,Sales,Sales Executive,3,2024-01-02,1,2026-07-13
87,EMP0087,Tanish,Shan,isaiahpalla@example.org,1585512939,Warehouse,Inventory Executive,5,2022-01-09,1,2026-07-13
88,EMP0088,Tanvi,Gola,pramachandran@example.net,6277154755,Inventory,Inventory Executive,4,2023-05-25,1,2026-07-13
89,EMP0089,Tanvi,Uppal,charfiyaz@example.org,2309122692,Inventory,Sales Manager,5,2024-12-31,1,2026-07-13
90,EMP0090,Rishi,Shanker,ekapad42@example.com,9857825019,Warehouse,Sales Manager,2,2024-04-11,1,2026-07-13
91,EMP0091,Chavvi,Mital,charansami@example.com,0130500587,Warehouse,Warehouse Manager,5,2023-04-23,1,2026-07-13
92,EMP0092,Atharv,Raju,xiti65@example.net,2999050516,Operations,Sales Executive,3,2023-04-29,1,2026-07-13
93,EMP0093,Bakhshi,Jha,bimala76@example.net,6052455449,Inventory,Warehouse Manager,1,2025-05-28,1,2026-07-13
94,EMP0094,Timothy,Bora,deyhiral@example.com,4357310157,Inventory,Sales Manager,2,2023-03-27,1,2026-07-13
95,EMP0095,Indira,Sachar,anusha66@example.net,3139566928,Inventory,Warehouse Manager,4,2025-11-05,1,2026-07-13
96,EMP0096,Warjas,Ahuja,ghegde@example.net,5718201217,Inventory,Sales Manager,3,2021-07-29,1,2026-07-13
97,EMP0097,Nidra,Bhalla,oeshiratti@example.org,1376627020,Inventory,Sales Executive,1,2022-10-05,1,2026-07-13
98,EMP0098,Ikbal,Kakar,umangsangha@example.com,0914332640,Sales,Sales Manager,2,2025-09-21,1,2026-07-13
99,EMP0099,Yauvani,Dewan,subramaniamyachana@example.org,7087259077,Operations,Inventory Executive,4,2023-08-06,1,2026-07-13
100,EMP0100,Anmol,Yogi,vincentvarma@example.org,6644090086,Inventory,Inventory Executive,4,2025-11-27,1,2026-07-13
